study_hours,mid_marks,attendance,assignments_completed,sleep_hours,final_marks
1,18,60,2,5,22
2,22,62,3,5,26
2,25,65,4,6,30
3,28,68,4,6,35
3,30,70,5,6,38
4,35,72,5,6,42
4,38,74,6,6,45
5,40,76,6,7,50
5,42,78,7,7,52
6,45,80,7,7,56
6,48,82,8,7,60
7,50,84,8,7,64
7,55,85,9,7,68
8,58,86,9,7,72
8,60,88,10,8,75
9,65,90,10,8,80
9,68,91,10,8,83
10,72,92,10,8,86
10,75,94,10,8,90
11,78,95,10,8,93
12,82,96,10,8,96
1,20,61,3,5,24
2,24,63,3,5,29
3,27,67,4,6,34
4,33,71,5,6,41
5,39,75,6,7,49
6,46,79,7,7,58
7,53,83,8,7,66
8,59,87,9,8,74
9,67,90,10,8,82
10,74,93,10,8,89
2,21,60,2,5,25
3,29,69,4,6,36
4,36,73,5,6,44
5,41,77,6,7,51
6,47,81,7,7,59
7,54,84,8,7,67
8,61,88,9,8,76
9,69,91,10,8,84
10,76,94,10,8,91
11,80,95,10,8,94
12,84,97,10,8,97
